,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3,Razão Social,Município,nm_mun,nu_latitude,nu_longitude
49,Balaroti Balneario Camboriu,https://www.balaroti.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Ripado Super WPC Ecovale Marrom RP1 1,5x10x285cm","1,5x10x285cm","R$ 121,90",/painel-ripado-super-wpc-ecovale-marrom-rp1-1-5x10x285cm,15.0,10.0,,121.9,BRL,,,,,,,
50,Balaroti Balneario Camboriu,https://www.balaroti.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Ripado Super WPC Ecovale Mel RP1 1,5x10x285cm","1,5x10x285cm","R$ 121,90",/painel-ripado-super-wpc-ecovale-mel-rp1-1-5x10x285cm,15.0,10.0,,121.9,BRL,,,,,,,
51,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
52,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
53,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
54,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
55,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
56,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
57,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
58,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
59,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
60,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
61,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
62,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
63,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
64,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
65,Bonato Materiais De Construcao Ltda,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,-27.17394453,-51.50668973
66,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
67,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
68,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
69,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
70,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
71,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
72,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,-26.30451765,-48.84940914
73,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
74,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
75,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
76,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
77,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
78,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
79,Casa Do Mdf E Ferragens Comercial Ltda,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,BRUSQUE,BRUSQUE,-27.09831023,-48.91516301
