,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,quantity,volume_m3,price_per_m3,nm_empresa,cidade,nm_mun,nm_uf,nu_latitude,nu_longitude
269,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado Pinus 18mm,"3,0 metros x 1,20 metros x 18 milímetros","R$ 584,50",https://www.beijaflormadeiras.com.br/painel-sarrafeado-pinus-18mm/,3000,1200,18,584.5,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
278,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus Sarrafeado 15mm,"3,0 metros x 1,20 metros x 15 milímetros","R$ 491,90",https://www.beijaflormadeiras.com.br/painel-pinus-sarrafeado-15mm/,3000,1200,15,491.9,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
287,https://dietrichmc.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Dietrich Material De Construcao Ltda,GASPAR,GASPAR,Santa Catarina,-26.91836851,-48.96770657
292,https://dacla.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Dacla Comercio De Materiais De Construcao Ltda,SAO JOSE,SAO JOSE,Santa Catarina,-27.59031208,-48.61602272
300,https://www.cmarceneiro.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Compensados Lages Ltda,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
309,https://ebert.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Ebert Comercio De Materiais De Construcao Ltda,INDAIAL,INDAIAL,Santa Catarina,-26.906256,-49.24014046
316,http://dismaff.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Dismaff Atacadista,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
322,https://figueredoconstrular.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Figueredo Constrular,GAROPABA,GAROPABA,Santa Catarina,-28.02089593,-48.61255668
326,https://www.elevato.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Elevato Materiais De Construcao E Decoracao Ltda,PALHOCA,PALHOCA,Santa Catarina,-27.64704368,-48.67028792
334,https://construcon.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Construcon Materiais De Construcao Ltda,BLUMENAU,BLUMENAU,Santa Catarina,-26.91610771,-49.05763088
341,https://estofama.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Estofama Estofados E Colchoes,ARROIO TRINTA,ARROIO TRINTA,Santa Catarina,-26.93256486,-51.33412392
345,https://estiloartefatos.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Estilo Artefatos De Madeiras Ltda,SAO CRISTOVAO DO SUL,SAO CRISTOVAO DO SUL,Santa Catarina,-27.28294667,-50.43462893
350,https://lojasenele.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Lojas Enele Sofas E Planejados,SAO LOURENCO DO OESTE,SAO LOURENCO DO OESTE,Santa Catarina,-26.35519016,-52.85133367
355,https://ergomobili.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Ergo-Mobili Industria E Comercio De Moveis Ltda,BIGUACU,BIGUACU,Santa Catarina,-27.49432274,-48.65448893
361,https://www.gmad.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Gmad Madville Madeiras E Ferragens Ltda,JOINVILLE,JOINVILLE,Santa Catarina,-26.30451765,-48.84940914
368,https://www.irmaoshinke.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Hinke Fabricacao De Moveis Ltda,SAO BENTO DO SUL,SAO BENTO DO SUL,Santa Catarina,-26.24948542,-49.3869789
375,http://uniaoguarezi.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Uniao Guarezi Materiais De Construcao,SAO JOSE,SAO JOSE,Santa Catarina,-27.59031208,-48.61602272
383,www.herbertmateriais.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Herbert Materiais Para Construcao Ltda,PORTO UNIAO,PORTO UNIAO,Santa Catarina,-26.2300049,-51.08160463
391,https://www.atacadaodastelhas.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Atacado Da Construcao E Telhas Litoral,GARUVA,GARUVA,Santa Catarina,-26.02207551,-48.84984186
396,https://www.idimex.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Idimex Do Brasil Industria E Comercio De Moveis Ltda,MAFRA,MAFRA,Santa Catarina,-26.11522849,-49.80103753
402,https://www.greenrevestimentos.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Green Revestimentos Ltda,SAO LOURENCO DO OESTE,SAO LOURENCO DO OESTE,Santa Catarina,-26.35519016,-52.85133367
