,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3
17,Cassol Centerlar - Itajai,https://www.cassol.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
18,Bortolato Material Para Construcao Ltda - Navegantes,https://bortolato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
19,Comach Compensados - Gravatal,https://www.comach.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
20,Cavilha - Rio do Sul,https://www.lojacavilha.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
21,Casavee Home Decor - Rio Negrinho,https://www.casavee.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
22,Casa Pedroso Materiais Para Construcao Ltda - Navegantes,https://casapedroso.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
23,Behling Lumber Importacao E Exportacao De Madeiras Ltda - Itajai,https://www.behling.ind.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,"['painel pinus', 'painel de madeira pinus']",,,,,,,,,,,
24,Ativa - Sao Bento do Sul,https://ativamoveis.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,[],,,,,,,,,,,
25,Comercial Girardi - Chapeco,https://www.girardionline.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
26,Cia Do Estofado - Mondai,https://www.ciadoestofado.ind.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
27,Comercio De Materiais Para Construcao Joli Ltda - Itajai,https://www.joli.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus 1200x200x18mm Massol,1200x200x18mm,"R$ 25,99",/painel-pinus-1200x200x18mm-massol/p,1200.0,200.0,18.0,25.99,BRL,0.00432,6016.2037037037035
28,Comercio De Materiais Para Construcao Joli Ltda - Itajai,https://www.joli.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus 900x300x18mm Massol,900x300x18mm,"R$ 35,99",/painel-pinus-900x300x18mm-massol/p,900.0,300.0,18.0,35.99,BRL,0.00486,7405.349794238684
29,Comercio De Material De Construcao Micar Ltda - Massaranduba,https://www.micarconstrucao.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
30,Covatti Acabamentos - Xanxere,https://www.covattiacabamentos.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
31,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1000x300x18mm,"R$ 109,36",/painel-modulare-madeira-pinus-com-acabamento-natural---tramontina/p,1000.0,300.0,18.0,109.36,BRL,0.0054,20251.85185185185
32,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE EM MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1000x200x18mm,"R$ 40,07",/painel-modulare-em-madeira-pinus-com-acabamento-natural---tramontina/p,1000.0,200.0,18.0,40.07,BRL,0.0036,11130.555555555557
33,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],MDF CRU PINUS 6MM 185X275 - GUARARAPES,,"R$ 91,50",/mdf-cru-pinus-6mm-185x275---guararapes/p,,,,91.5,BRL,,
34,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE EM MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1500x300x18mm,"R$ 109,36",/painel-modulare-madeira-pinus-com-acabamento-natural---tramontina/p,1500.0,300.0,18.0,109.36,BRL,0.0081,13501.234567901236
35,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1500x300x18mm,"R$ 109,36",/painel-modulare-madeira-pinus-com-acabamento-natural---tramontina/p,1500.0,300.0,18.0,109.36,BRL,0.0081,13501.234567901236
36,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],MDF CRU PINUS 6MM 185X275 - GUARARAPES,,"R$ 91,50",/mdf-cru-pinus-6mm-185x275---guararapes/p,,,,91.5,BRL,,
37,Compensados Fernandes - Blumenau,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE EM MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,,"R$ 40,07",/painel-modulare-em-madeira-pinus-com-acabamento-natural---tramontina/p,,,,40.07,BRL,,
38,Compensados Lages Ltda - Lages,https://www.cmarceneiro.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
39,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Pinus Sarrafeado 20mm x 1,20mts x 3,00mts","20mm x 1,20mts x 3,00mts","R$ 615,00",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,20.0,615.0,BRL,,
40,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus Sarrafeado 30mm,30mm,"R$ 915,00",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,30.0,915.0,BRL,,
41,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Compensado Pinus Naval 30mm,30mm,"R$ 396,60",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,30.0,396.6,BRL,,
42,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado de Pinus 35mm,35mm,"R$ 1.066,00",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,35.0,1066.0,BRL,,
43,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado Pinus 25mm,25mm,"R$ 766,50",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,25.0,766.5,BRL,,
44,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado Pinus 18mm,18mm,"R$ 584,50",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,18.0,584.5,BRL,,
45,Madereira Beija Flor - Lages,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus Sarrafeado 15mm,15mm,"R$ 491,90",https://www.beijaflormadeiras.com.br/catalogsearch/result/index/?cat=&infinite=true&&q=painel+pinus,,,15.0,491.9,BRL,,
