nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,Comércio varejista de materiais de construção,131,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",1,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,"Fabricação de artefatos diversos de madeira, exceto móveis",5,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,Fabricação de móveis com predominância de madeira,22,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,Fabricação de outros artigos de carpintaria para construção,2,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
Ecoporanga,3202108.0,Espírito Santo,ES,Comércio varejista de materiais de construção,2,Espírito Santo,Ecoporanga,Barra de São Francisco,-18.37525238,-40.83008116
Eirunepe,1301407.0,Amazonas,AM,Comércio varejista de materiais de construção,16,Amazonas,Eirunepe,Juruá,-6.667352567,-69.86629026
Eldorado,3514809.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Eldorado,Registro,-24.52538661,-48.10322842
Eldorado,5003751.0,Mato Grosso do Sul,MS,Comércio varejista de materiais de construção,2,Mato Grosso do Sul,Eldorado,Iguatemi,-23.77405392,-54.28002825
Eldorado do Carajas,1502954.0,Pará,PA,Comércio varejista de materiais de construção,12,Pará,Eldorado do Carajas,Parauapebas,-6.103525161,-49.37395194
Eldorado do Sul,4306767.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,5,Rio Grande do Sul,Eldorado do Sul,Porto Alegre,-29.99929259,-51.31041893
